,"Interval|""ms""|0|0|1","Utc|""ms""|0|0|1","Analog4|""Volts""|0.0|5.0|500","Analog5|""Volts""|0.0|5.0|500","Battery|""Volts""|0.0|20.0|1","AccelX|""G""|-3.0|3.0|200","AccelY|""G""|-3.0|3.0|200","AccelZ|""G""|-3.0|3.0|200","Yaw|""Deg/Sec""|-120|120|200","Pitch|""Deg/Sec""|-120|120|200","Roll|""Deg/Sec""|-120|120|200","Gsum|""G""|0.0|3.0|200","RPM|""rpm""|0|8000|500","RPM2|""rpm""|0|8000|500","GPIO1|""""|0.0|1.0|50","Latitude|Degrees|-180.0|180.0|25","Longitude|Degrees|-180.0|180.0|25","Speed|mph|0.0|150.0|25","Altitude|""ft""|0.0|4000.0|25","GPSSats|""""|0|20|25","GPSQual|""""|0|5|25","GPSDOP|""""|0.0|20.0|25"
233,683,0,1.41,1.83,,0.1,0.12,1.23,4.0,-4.0,3.0,0.16,0,124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234,685,0,1.44,1.85,,,,,,,,,0,124,,,,,,,,
235,687,0,1.46,1.87,,,,,,,,,0,124,,,,,,,,
236,689,0,1.45,1.87,,,,,,,,,0,116,,,,,,,,
237,691,0,1.44,1.86,,,,,,,,,0,116,,,,,,,,
238,693,0,1.41,1.82,,0.09,0.1,1.16,4.0,-2.0,0.0,0.13,0,116,,,,,,,,
239,695,0,1.45,1.86,,,,,,,,,0,116,,,,,,,,
240,697,0,1.46,1.87,,,,,,,,,0,116,,,,,,,,
241,699,0,1.46,1.87,,,,,,,,,0,116,,,,,,,,
242,701,0,1.43,1.85,,,,,,,,,0,116,,,,,,,,
243,703,0,1.42,1.82,,0.19,0.09,1.01,3.0,-9.0,-2.0,0.21,0,116,0.0,,,,,,,
244,705,0,1.45,1.86,,,,,,,,,0,116,,,,,,,,
245,707,0,1.46,1.87,,,,,,,,,0,116,,,,,,,,
246,709,0,1.45,1.86,,,,,,,,,0,116,,,,,,,,
247,711,0,1.41,1.82,,,,,,,,,0,116,,,,,,,,
248,713,0,1.44,1.86,,0.15,0.09,1.04,2.0,2.0,-1.0,0.17,0,116,,,,,,,,
249,715,0,1.46,1.87,,,,,,,,,0,116,,,,,,,,
250,717,0,1.46,1.87,,,,,,,,,0,116,,,,,,,,
251,719,0,1.44,1.85,,,,,,,,,0,116,,,,,,,,
252,721,0,1.42,1.83,,,,,,,,,0,120,,,,,,,,
253,723,0,1.45,1.86,,0.1,-0.12,1.27,2.0,-2.0,1.0,0.16,0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
254,725,0,1.46,1.87,,,,,,,,,0,120,,,,,,,,
255,727,0,1.46,1.86,,,,,,,,,0,120,,,,,,,,
256,729,0,1.44,1.83,,,,,,,,,0,120,,,,,,,,
257,731,0,1.43,1.85,,,,,,,,,0,120,,,,,,,,
258,733,0,1.42,1.83,,0.21,-0.17,1.22,1.0,-3.0,4.0,0.27,0,120,,,,,,,,
259,735,0,1.43,1.84,,,,,,,,,0,120,,,,,,,,
260,737,0,1.45,1.86,,,,,,,,,0,120,,,,,,,,
261,739,0,1.46,1.87,,,,,,,,,0,120,,,,,,,,
262,741,0,1.46,1.87,,,,,,,,,0,120,,,,,,,,
263,743,0,1.45,1.86,,0.3,-0.04,1.33,1.0,5.0,7.0,0.3,0,120,0.0,,,,,,,
264,745,0,1.42,1.83,,,,,,,,,0,120,,,,,,,,
265,747,0,1.44,1.85,,,,,,,,,0,120,,,,,,,,
266,749,0,1.46,1.87,,,,,,,,,0,120,,,,,,,,
267,751,0,1.46,1.87,,,,,,,,,0,120,,,,,,,,
268,753,0,1.46,1.87,,0.18,0.03,1.25,3.0,2.0,7.0,0.19,0,120,,,,,,,,
269,755,0,1.43,1.84,,,,,,,,,0,120,,,,,,,,
270,757,0,1.43,1.84,,,,,,,,,0,120,,,,,,,,
271,759,0,1.46,1.86,,,,,,,,,0,120,,,,,,,,
272,761,0,1.46,1.87,,,,,,,,,0,120,,,,,,,,
273,763,0,1.46,1.87,,0.02,0.07,1.19,1.0,9.0,9.0,0.08,0,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
274,765,0,1.44,1.85,,,,,,,,,0,120,,,,,,,,
275,767,0,1.42,1.83,,,,,,,,,0,120,,,,,,,,
276,769,0,1.45,1.86,,,,,,,,,0,120,,,,,,,,
277,771,0,1.46,1.87,,,,,,,,,0,120,,,,,,,,
278,773,0,1.45,1.86,,0.0,-0.01,0.85,3.0,3.0,9.0,0.01,0,120,,,,,,,,
279,775,0,1.41,1.83,,,,,,,,,0,120,,,,,,,,
280,777,0,1.43,1.84,,,,,,,,,0,120,,,,,,,,
281,779,0,1.45,1.86,,,,,,,,,0,120,,,,,,,,
282,781,0,1.45,1.87,,,,,,,,,0,120,,,,,,,,
283,783,0,1.45,1.87,,-0.19,-0.01,0.64,3.0,5.0,7.0,0.19,0,120,0.0,,,,,,,
284,785,0,1.44,1.86,,,,,,,,,0,120,,,,,,,,
285,787,0,1.41,1.83,,,,,,,,,0,120,,,,,,,,
286,789,0,1.41,1.83,,,,,,,,,0,124,,,,,,,,
287,791,0,1.44,1.86,,,,,,,,,0,124,,,,,,,,
288,793,0,1.45,1.87,,-0.3,-0.01,0.52,1.0,5.0,7.0,0.3,0,124,,,,,,,,
289,795,0,1.45,1.86,,,,,,,,,0,124,,,,,,,,
290,797,0,1.42,1.83,,,,,,,,,0,124,,,,,,,,
291,799,0,1.41,1.85,,,,,,,,,0,124,,,,,,,,
292,801,0,1.44,1.87,,,,,,,,,0,124,,,,,,,,
293,803,0,1.44,1.88,,-0.16,0.03,0.37,-1.0,-4.0,3.0,0.17,0,124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
294,805,0,1.43,1.86,,,,,,,,,0,124,,,,,,,,
295,807,0,1.39,1.83,,,,,,,,,0,124,,,,,,,,
296,809,0,1.41,1.85,,,,,,,,,0,124,,,,,,,,
297,811,0,1.44,1.87,,,,,,,,,0,124,,,,,,,,
298,813,0,1.44,1.88,,-0.08,0.16,0.26,-1.0,-1.0,6.0,0.18,0,124,,,,,,,,
299,815,0,1.44,1.88,,,,,,,,,0,124,,,,,,,,
300,817,0,1.41,1.85,,,,,,,,,0,124,,,,,,,,
301,819,0,1.41,1.85,,,,,,,,,0,124,,,,,,,,
302,821,0,1.44,1.88,,,,,,,,,0,124,,,,,,,,
303,823,0,1.44,1.88,,-0.19,0.28,0.68,0.0,3.0,5.0,0.34,0,56,0.0,,,,,,,
304,825,0,1.43,1.87,,,,,,,,,0,56,,,,,,,,
305,827,0,1.4,1.83,,,,,,,,,0,56,,,,,,,,
306,829,0,1.43,1.86,,,,,,,,,0,56,,,,,,,,
307,831,0,1.44,1.88,,,,,,,,,0,56,,,,,,,,
